Name,City
Dr. Anand H Subrahmanyam,Bangalore
Dr. Smita Mishra,New Delhi
Dr. Pawan Zutshi,Gurgaon
Dr. Rajeev Rathi,New Delhi
Dr. Sanjeev Gera,New Delhi
Dr. Dheeraj Garg,New Delhi
Dr. Arvind Sethi ,New Delhi
Dr. Aseem Ranjan Srivastava,Gurgaon
Dr. Vivek Mittal,Mathura
Dr. Sameer Diwale,Hyderabad
Dr. Siddharth Dagli,Mumbai
Dr. Naresh Kumar Goyal,New Delhi
Dr. Vishal K Singh,Noida
Dr. Aliasgar Behrainwala,Mumbai
Dr. Anil Drnamraju,Hyderabad
Dr. Manish Sharma,Greater Noida
Dr. B L Aggarwal,Noida
Dr. Adil Sadiq,Bangalore
Dr. Anil Minocha,Noida
Dr. Salil Shirodkar,Mumbai
Dr. Sanjiv Kumar Gupta,Mathura
Dr. Prafulla Kerkar,Mumbai
Dr. Anand Kumar,Gurgaon
Dr. Nimit Shah,Mumbai
Dr. Kuldeep Arora,Gurgaon
Dr Smruti Rajan Mohanty ,Mumbai
Dr. Sanjat Chiwane,Gurgaon
Dr. Pradeep Kaushik,Mumbai
Dr. Vishal Rastogi,New Delhi
Dr Vijay Agarwal ,Gurgaon
Dr. Karan Chopra,New Delhi
Dr. Rangasamy Muthusamy,Chennai
Dr. Mohammed Rehan Sayeed,Bangalore
Dr. Vijay Kohli,Gurgaon
Dr. Kamal Gupta,Faridabad
Dr. Amit Kumar,Faridabad
Dr. Mukesh Goel,New Delhi
Dr. Bhuvnesh Kumar Aggarwal,Gurgaon
Dr. Hemant Pramod Pathare,Mumbai
Dr. Pramod Kumar,Hyderabad
Dr. Manish Hinduja,Mumbai
Dr. P. Padmakumar,Bangalore
Dr. Deepak Krishnamurthy,Bangalore
Dr Manvinder Singh Sachdev,Gurgaon
Dr R Sekhar ,Mumbai
Dr. C. S. Agarwal,Gurgaon
Dr. Madhukar Shahi,Gurgaon
Dr. Shahid Merchant,Mumbai
Dr. Santosh Kumar Dora,Mumbai
Dr. Parneesh Arora ,Noida
Dr. Ajeet Jain,New Delhi
Dr Karthigesan A M,Chennai
Dr. B. L. Agarwal,Noida
Dr. Prof Narendra Nath Khanna,New Delhi
Dr Amit Misri,Gurgaon
Dr. Shilpa Gandhi,
Dr. Sameer Mehrotra,Gurgaon
Dr. Ashish Chauhan,Faridabad
Dr. Deepak Changlani,Mumbai
Dr. Yunus Loya,Mumbai
Dr. Mahesh  Wadhwani,Gurgaon
Dr. Satish Javali,Mumbai
Dr. Vishal Agarwal,Gurgaon
Dr. Rahul Ramteke,Ghaziabad
Dr. Ganapathy Subramaniam,Chennai
Dr. S.S Murthy,Gurgaon
Dr. Yugal K Mishra,New Delhi
Dr. Madan Mohan B,Chennai
Dr. Ameya Udyavar,Mumbai
Dr. Sunil Kumar Wadhwa,Gurgaon
Dr. Supratim Sen,Mumbai
Dr. Madhu Mary Minz,Gurgaon
Dr. Anand Kumar V.,Kochi
Dr. Pankaj Batra,Faridabad
Dr. Bharat Kukreti,Gurgaon
Dr. Amit Gupta,Bangalore
Dr. Dhananjay Malankar,Mumbai
Dr. Sanjeev Y. Vichare,Mumbai
Dr. Saurabh Rajendrasingh Bagga,Delhi
Dr Vineet Bhatia,Noida
Dr. Govini Balasubramani,Chennai
Dr Deepak Natarajan,New Delhi
Dr. S Venkatesh,Bangalore
Dr. Chander Mohan Mittal,New Delhi
Dr. Rajiv Bhagwat,Mumbai
Dr. Sushil Singhal,Delhi
Dr. Vivudh Pratap Singh,Delhi
Dr Sajan Koshy ,Kochi
Dr. Prashant Tarakant Upasani,Noida
Dr Rajiv Agarwal,New Delhi
Dr. Mohan R,Chennai
Dr. Manisha Chakrabarti,New Delhi
Dr. Haresh Mehta,Mumbai
Dr. Prabhakar D,Chennai
Dr. Anuj Sathe,Mumbai
Dr. Sanjeevkumar Ramchandra Kalkekar,Mumbai
Dr. Manish Hinduja,Mumbai
Dr. Dinesh Kumar Mittal,New Delhi
Dr. Kaushal Chhatrapati,Mumbai
Dr. Ahmar Nauman Tarique,Gurgaon
Dr. Dhamodaran K,Chennai
Dr Ajay Hirakannawar,Mumbai
Dr. Manoj Kumar,New Delhi
Dr. S. K. Jain,Gurgaon
Dr Rohit Goel,Gurgaon
Dr. Ashok K Gupta,New Delhi
Dr. Chander Mohan Mittal,Gurgaon
Dr. Sumit Narang,Faridabad
Dr. Chander Mohan Mittal,Gurgaon
Dr. Sumit Narang,Faridabad
Prof. Dr. Pradeep G. Nayar,Chennai
Dr. D. K. Jhamb,Gurgaon
Dr Asha Mahilmaran,Chennai
Dr. B.S. Chakrapani,Bangalore
Dr. Rajeev Kumar Rajput,New Delhi
Dr. Nilesh Gautam,Mumbai
Dr. Ravindranath Reddy,Bangalore
Dr Pradeep G,Chennai
Dr. Sanjeev Chaudhary,Gurgaon
Dr. Anirban Kundu,New Delhi
Dr. Sai Sudhakar,Hyderabad
Dr. Adil Rizvi,New Delhi
Dr. Ganeshakrishnan Iyer,Bangalore
Dr. K. R. Balakrishnan,Chennai
Dr. Devananda N.S,Bangalore
Dr. Samanjoy Mukherjee,New Delhi
Dr. Gunjan Kapoor,Noida
Dr. Chhaya P Vaja,Mumbai
Dr. Girish Warrier,Calicut
Dr. Akhil Kumar Rustagi,Noida
Dr. Sanjiv Agrawal,Chennai
Dr. Sharada SK,Chennai
Dr. Ruchit Shah,Mumbai
Dr. D.K. Satsangi,Noida
Dr. Nishith Chandra,New Delhi
Dr. Senthilkumar D,Chennai
Dr. Pankaj Bajpai,Gurgaon
Dr. Parag Bhalgat,Mumbai
Dr. Amit Chandra,Gurgaon
Dr. Sameer R Rao,Bangalore
Dr. Dinesh Chandra,Gurgaon
Dr. Srikanth K. V,Bangalore
Dr. Binay Kumar,Gurgaon
Dr. Mangesh G Kohale,Mumbai
Dr. Brajesh Kumar Kunwar,Mumbai
Dr. Mukul Bhargava,Gurgaon
Dr. Satya Nand Pathak,New Delhi
Dr. Bhupendra Singh,New Delhi
Dr. Mukul Bhargava,Gurgaon
Dr. Satya Nand Pathak,New Delhi
Dr. Bhupendra Singh,New Delhi
 Dr. Sameer Dhingra,New Delhi
Dr. Vaibhav Mishra,Noida
Dr. Anand Shenoy,Bangalore
Dr. Roopa R,Bangalore
Dr. Gourav S Shetty,Bangalore
Dr. Raghu C,Hyderabad
Dr. Pankaj Bansal,Noida
Dr. Mohammad Mubeen,New Delhi
Dr. Vijit K Cherian,Chennai
Dr. Pramod Kumar,New Delhi
Dr. Kailash A Jain,Chennai
Dr. Srichandran L,Chennai
Dr. Vaibhav Dedhia,Mumbai
Dr. Gaurav Garg,Delhi
Dr. Anup Charles Steven,Bangalore
Dr. Avinash Verma,New Delhi
Dr. Gagandeep S Wander,Gurgaon
Dr. Aziz Kothawala,Mumbai
Dr. Mahadev Swamy B,Bangalore
Dr. Naveen Chandra,Bangalore
Dr. Mandar Shah,Mumbai
Dr. Jyotirmaya Dash,Chennai
Dr. Shafeeq Mattummal,Calicut
Dr. Sanjeev Kumar Singla,Gurgaon
Dr. Sandeep Agarwala,Ahmedabad
Dr. Cibi Issac,Kochi
Dr. Anil Jose,Calicut
Dr. Sandeep Agarwala,Ahmedabad
Dr. Cibi Issac,Kochi
Dr. Anil Jose,Calicut
Dr. Pankaj Ranjan,Greater Noida
Dr. Rajesh Kumar R,Chennai
Dr. Aman Gautam,New Delhi
Dr. Ramya Shri C,Chennai
Dr. Amjad M Shaikh,Mumbai
Dr. Nilesh D Bachaav,Calicut
Dr. Ghayoor Ahmed,Chennai
Dr. Gaurav Agrawal,New Delhi
Dr. Sarita Gulati,New Delhi
Dr. Vivekan Manoharan,Chennai
Dr. Sanjay Kumar Pandey,New Delhi
Dr. Ranjan Shetty,Bangalore
Dr. Sushant C Patil,
Dr. Ved Prakash,Gurgaon
Dr. Narendra Agarwal,Gurgaon
Dr. Amit Madaan,New Delhi
Dr. Anurag Passi,Gurgaon
Dr. Rajender Thaplu,Gurgaon
Dr. Swati Rawat,Gurgaon
Dr Sathyamurthy I,Chennai
Dr. Girinath M R,Chennai
Dr. Y Vijayachandra Reddy,Chennai
Dr. Sengottuvelu G,Chennai
Dr. Sridhar L F,Chennai
Dr. Nidhi Rawal,Gurgaon
Dr. Munesh Tomar,Gurgaon
Dr. Subhash Chandra,New Delhi
Dr. Peeyush Jain,New Delhi
Dr. Ramji Mehrotra,New Delhi
Dr. T. S. Kler,New Delhi
Dr. S. K. Sinha,New Delhi
Dr. Tapan Ghose,Gurgaon
Dr. L.K. Jha,Faridabad
Dr. Gunjan Kapoor,Noida
Dr. Sumeet Sethi,Gurgaon
Dr Abraham Oomman,Chennai
Dr. Patha Prateem Choudhary,New Delhi
Dr. K.K. Kapur,New Delhi
Dr. Harsh Vardhan,New Delhi
Dr. Vanita Arora,New Delhi
Dr. Harin Vyas,Mumbai
Dr. Hasmukh Ravat,Mumbai
Dr. Pradyot Kumar,Mumbai
Dr. Avinash Dal,Hyderabad
Dr. Bharath Purohit,Hyderabad
Dr. Biswajeet Mohapatra,Hyderabad
Dr. Rajarajan Venkatesan,Chennai
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Niraj chavan, reliance hospital",mumbai
"dr. Vijaysinh patil, wockhardt hospital",nashik
"dr. Sanjeev kumar, sunshine hospitals",hyderabad
"dr. Aabdus salaam, creation healthcare",malda
"dr. Ajay bahadur, apollomedics",lucknow
"dr. Manan anand, manan heart care centre",amritsar
"dr. Manan anand, manan heart care centre",amritsar
"dr. Mridul mahanta, apollo clinic dispur",guwahati
"dr. Rohit yadav, kishan hospital cardio care center",faizabad
"dr. Rohit yadav, kishan hospital cardio care center",faizabad
"dr. Niraj yadav, zydus hospital",ahmedabad
"dr. Prashanth kumar m, hrudaya heart clinic",hubli
"dr. Sulaiman thiruvangod, nirmala heart institute",kozhikode
"dr. Satish kumar, bokaro general hospital",bokaro steel city
"dr. Mohammed ali, apollo hospital",indore
"dr. Apoorva jain, arihant heart clinic",bhopal
"dr. Ketan vekariya, the heart care cardiology clinic",surat
"dr. Ravindranath n.  tagore, ravi cardiac and diabetic care centre",guntur
"dr. Anup khetan, rabindranath tagore international institute of cardiac sciences",kolkata 
"dr. Anupam gupta, vardaan heart care center",kasganj
"dr. Akhilesh jain, shalby hospital",indore
"dr. Zakir khan, dr drzakirs heart and diabetes care centre",indore
"dr. Tejas patel, interventional cardiology",ahmedabad
"dr. Prakash chand shahi, pulse heart centre",gorakhpur
"dr. Anupam gupta, vardaan heart care center",mathura 
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Simrat singh, daljit scanning and diagnostic center",gurdaspur
"dr. Manoj gerela, good health superspeciality clinic",mumbai
"dr. Mohanamurugan ps, k.m.hospitals",chennai
"dr. Élangovan minnal, goverment hospital",tiruvallur
"dr. Syed mairajuddin, mm hospital hyderabad",hyderabad
"dr. Fawad shamsi, heartbeat clinic",rampur
"dr. A. sai ravishanker, swetha hospital",karimnagar
"dr. Chandan kumar, pmch",patna
dr. Niraj chavan,indore
"dr. Aboobacker nk, universal hospitals",kozhikode
dr. Zakir khan,indore
dr. Malavika roy chowdhury,kolkata
dr. Amitava maitra,malda
dr. Darpa narayan dutta,kolkata
dr. Shyamal chowdhury,kolkata
"dr. Nanda kishore bharatia, p.l saraf hospital",mathura
"dr. Narendra agarwal, narendra heart centre",kashipur
"dr. Jamal yusuf, g.b pant hospital",new delhi
"dr. Ram de yadave, batra hospital & medical research centre",new delhi
dr. Sarita yadav,new delhi
dr. Ajit mahendra yadav,pune
"dr. Ashok wasalwar, shri vyanktesh hosp & research centre",chandrapur
dr. Sunil p wani,mumbai
dr. Gurpreet singh wander,ludhiana
dr. Chirayu vyas,ahmedabad
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Chavan suresh vithalrao, shree clinic",satara
dr. Vishnu prabhu o.r,madurai
dr. Virmani a.k,jamshedpur
dr. V vincent,nagercoil
dr. Damle anil vinayak,mumbai
"dr. Rajesh vijayvergiya, pgimer",chandigarh
"dr. Vijayvargiya s.s, new govt. hospital",garoth
dr. Vijay kumar m,kochi
dr. Vijayaraghavan g,trivandrum
"dr. Vijayan v.k, v.p chest institute",delhi
dr. Vijayakumar p.t,kannur
dr. Vinod m vijan,nashik
dr. Suresh g vijan,mumbai
"dr. Ashok victor, xcellent care hospitials.",chennai
dr. Vezirani p.h,ahmedabad
dr. Sunil kumar verma,lucknow
"dr. Satya prakash verma, apollo hospital",new delhi
"dr. Rashmi p verma, doctor vermas clinic",bhilai
dr. Ramesh kumar verma,sehore
dr. Rakesh verma,new delhi
dr. Puneet kumar verma,new delhi
dr. Mau r verma,elanji
dr. Verma j.m,farrukhabad
dr. Asha verma,bilaspur
dr. Akhilesh verma,bilaspur
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. S. p. verma air marshal (retd),agra
dr. Venkatesh h.v,bengaluru
dr. Venkataramaiah h,bengaluru
dr. Palani velu s,salem
dr. Karthik vasudevan,bengaluru
dr. Manan a. h vasenwala,aligarh
dr. Varkey p.m,trichur
dr. Varghese p.k,trichur
dr. Varadhachary k.s,mumbai
"dr. Vanajakshama v, svims",tirupati
dr. Bhavesh u vajifdar,mumbai
"dr. Vaish s.c, divisional hospital",varanasi
dr. Balu vaidyuanathan,kochi
dr. Abhijit vaidya,pune
"dr. Vachharajani s.d, s.g pharmaceuticals limted",baroda
dr. Haridasan v,thrissur
dr. Mahesh upadhyay,jaipur
dr. Upadhay n.k,mumbai
dr. Govindan unni t,trichur
dr. Vinod k unni,malappuram
dr. K udayakumar,viluppuram
dr. K. s udayabhanu,trichur
dr. Sanjay tyagi,new delhi
"dr. Them raj tuli, tuli heart care centre",amritsar
"dr. Skand kr trivedi, bhopal memorial hospital & research centre",bhopal
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Nityanand tripathi,deoria
"dr. Hariraj singh tomar, escorts heart institute & research centre",new delhi
"dr. M. h tolia, tolia hospital",rajkot
"dr. Tolani n.p, tolani hospital",nagpur
dr. Satish chandra kant toal,mumbai
dr. Pradeep kumar tiwary,kolkata
dr. Vinod kumar tiwari,lucknow
dr. P. l tiwari,mumbai
dr. Nitin tiwari,nagpur
dr. Vinod thomas,trichur
dr. Manoj thomas,trivandrum
dr. Joy m thomas,chennai
dr. James thomas,mumbai
dr. Gerogie thomas,kochi
dr. George thomas,kochi
dr. Geroge thayil,kochi
dr. Ramesh n tharwani,indore
dr. Thanikachalam s,chennai
"dr. Vijay kumar thakur, kurji holy family hospital",patna
dr. Ramesh thakur,kanpur
dr. Ashish kumar thakur,muzaffarpur
dr. Thakur a.k,patna
dr. Satyendra tewari,kanpur
dr. Rohit tewari,agra
"dr. Tennyson s, kumarapuram med college",trivandrum
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Kirti d tanna,nagpur
dr. Jasbir singh taneja,patiala
dr. Vivek tandon,lucknow
dr. R tandon,delhi
dr. Suresh kumar talwar,new delhi
dr. Sachin talwar,noida
dr. Talwalkar n.g,mumbai
dr. Vivek d tadwalkar,aurangabad
dr. Manikandan t.v,thrissur
dr. Anees t,trivandrum
"dr. Ranga swamy p, govt general hospital",kakinada
"dr. Ajay j swamy, command hospital",bengaluru
dr. Bikash chandra swaika,bardhaman
dr. Suresh punam suryawanshi,dhule
dr. Parekh sureshchandra,surat
dr. Suratkal v.i,mumbai
dr. Mahveer surana,jodhpur
dr. Balaji sundaresan j,coimbatore
dr. Sukumar p,theni
dr. Nagisetty mukund sudhir,trichur
dr. Sudhayakumar n,kottayam
"dr. Jayant mukund subhedar, ashirwad nursing home",ratlam
dr. Dinesh sudan,jammu
dr. Subburamakrishnan p,madurai
dr. Vijayakumar subban,salem
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Ranjan kumar srivastava,kolkata
dr. Prakash chandra srivastava,rorakhpur
dr. Kushal kumar srivastava,gorakhpur
dr. Avanindra kumar srivastava,hyderabad
dr. Srinivasn k.n,chennai
dr. Srinivas b.c,bengaluru
"dr. Jujjuru srimannarayana, c/o city cardiac research centre",vijayawada
dr. Srilakshmi m.a,bengaluru
dr. Sridevi m.r,bengaluru
dr. Sridevi c,hyderabad
"dr. B sreenivas, s.s institute of medical science & research centre",davanagere
dr. S sosale,mysore
dr. Rakesh sood,delhi
"dr. S. p. s sooch, gandhi hospital",phagwara
dr. Saroj soni,kolkata
dr. Navin kumar soni,ghaziabad
dr. Surendra kumar soneji,mumbai
"dr. Sunil k sonavane, sonavane heart care hospital",nashik
"dr. P. r somvanshi, samyukta hospital building campus",amravati
dr. Shah chetan somchand,mumbai
dr. Anand somaya,mumbai
dr. Harish somasundaram a,chennai
dr. K. s somashekhar,davanagere
dr. K solly,trivandrum
dr. S socrates,chennai
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. S sivasankaran,trivandrum
dr. Nanda kumar sivasankar,kozhikode
dr. Sivan r,chennai
dr. Sivakumar k,bengaluru
dr. Sivakadaksham n,chennai
dr. B. m sitwala,surat
dr. Tapan sinha,kolkata
dr. Sumeet sinha,hyderabad
"dr. Ramanand prasad sinha, sgpgi",lucknow
dr. Parvir sinha,darbhanga
dr. Nakul sinha,lucknow
dr. Nagendra mohan sinha,patna
dr. D. p sinha,kolkata
dr. Ashutosh kumar sinha,siwan
dr. Ajay kumar sinha,patna
dr. Ajit kumar sinha,ranchi
dr. S. s singhal,kanpur
dr. Anurag singhal,ghaziabad
dr. Amar singhal,new delhi
"dr. Davinder singh chadha, command hospital",bengaluru
"dr. Yogendra singh, fortis escorts hospital",dehradun
dr. Thokchom sachin deba singh,imphal
dr. Tripurari prasad singh,motihari
dr. Sushil kumar singh,lucknow
"dr. Sikandar singh, hindustan health centre",deoghar
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Satya prakash singh, shri mahant indiresh hospital",dehradun
dr. Satpal singh,delhi
dr. Sandeep singh,delhi
"dr. S. s singh, haria rotary hospital",vapi
dr. Ram gopal singh,ludhiana
dr. Ram singh,agra
"dr. R. b singh, hear research laboratory",moradabad
"dr. R. k singh, bhopal memorial hospital & research centre",bhopal
dr. Parminder singh,ludhiana
dr. Nagendra kumar singh,koderma
"dr. Maider singh, anand hospital & heart care centre",amritsar
dr. K. p singh,delhi
dr. Jasminder singh,mohali
"dr. Gurvinder pal singh, sutlej hospital & heart centre",phagwara
dr. Charan paul singh,faridkot
dr. Anirudh singh,patna
dr. Achida kumar singh,patna
"dr. Harminder singh, command hospital (ec)",kolkata
